"date","confirmed","deaths","tests","positives","recovered","hosp","icu","vent","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","id","state_abbrev"
2020-07-31,16880,197,4238305,15866,9765,367,44,27,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-01,17254,201,4307224,16239,9982,401,50,28,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-02,17895,208,4364382,16879,10206,408,46,30,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-03,18290,221,4429911,17274,10403,439,43,31,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-04,18702,232,4481617,17686,10577,483,44,5,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-05,19416,247,4552081,18399,10721,566,51,36,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-06,19863,255,4632089,18846,10926,600,52,34,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-07,20273,266,4724026,19256,11128,632,51,33,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-08,20698,278,4764223,19681,11367,659,53,35,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-09,21084,294,4857414,20067,11680,659,51,32,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-10,21397,312,4918546,20380,11949,664,55,37,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-11,21714,331,4980172,20696,12200,673,59,33,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-12,22127,352,5041344,21109,12587,686,51,32,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-13,22358,361,5109785,21338,12809,686,44,31,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-14,22742,375,5180414,21721,13158,679,47,31,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-15,23035,379,5243784,22013,13442,683,48,33,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-16,23288,396,5297558,22266,13893,680,47,34,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-17,23559,421,5336097,22537,14346,674,51,37,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-18,23773,438,5380613,22750,14736,682,52,37,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-19,23993,450,5440495,22966,15054,694,53,34,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-20,24236,463,5508831,23209,17661,644,51,33,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-21,24407,472,5579980,23380,18268,647,47,31,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-22,24602,485,5647677,23575,18567,631,43,27,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-23,24812,502,5706587,23784,19041,604,39,26,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-24,24916,517,5758034,23887,19411,659,38,22,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-25,25053,525,5814709,24024,19622,644,42,23,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-26,25205,549,5886412,24176,19908,603,46,20,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-27,25322,571,5972680,24293,20174,558,35,15,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-28,25448,582,6052236,24417,20441,543,35,21,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-29,25547,600,6119791,24516,20664,510,32,21,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-30,25670,611,6168229,24639,20924,501,31,15,25459470,1,"Australia",NA,NA,"99999999",NA
2020-08-31,25746,652,6214453,24715,21158,481,27,17,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-01,25819,657,6255832,24788,21311,450,26,10,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-02,25923,663,6319795,24892,21498,433,23,16,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-03,26049,678,6455876,25018,21720,391,26,18,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-04,26136,737,6526837,25105,21978,357,27,17,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-05,26207,748,6590675,25176,22138,326,27,19,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-06,26279,753,6657235,25247,22275,310,26,20,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-07,26322,762,6693434,25289,22411,294,32,21,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-08,26374,770,6730397,25340,22532,263,29,16,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-09,26465,781,6789333,25431,22671,221,26,15,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-10,26513,788,6849318,25478,22844,195,23,15,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-11,26565,797,6928040,25530,23025,163,18,12,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-12,26606,803,6976042,25571,23137,151,15,10,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-13,26650,809,7015977,25615,23270,137,17,7,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-14,26691,816,7046923,25656,23386,141,18,10,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-15,26737,816,7076539,25702,23460,139,17,10,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-16,26779,824,7124384,25743,23534,126,16,9,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-17,26813,832,7178628,25776,23600,117,16,9,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-18,26861,837,7224163,25824,23663,108,15,9,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-19,26885,843,7263213,25848,23770,106,12,7,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-20,26898,849,7296139,25860,23870,109,10,6,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-21,26912,851,7319575,25874,23965,107,8,4,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-22,26942,854,7351170,25901,24026,100,11,6,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-23,26974,859,7393693,25933,24111,89,11,7,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-24,26983,861,7441214,25939,24137,81,11,7,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-25,27000,869,7479702,25956,24209,71,11,7,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-26,27016,870,7517407,25971,24257,68,12,5,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-27,27040,872,7546110,25988,24317,66,12,5,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-28,27044,875,7563322,25992,24360,62,11,4,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-29,27063,882,7589219,26003,24396,60,8,4,25459470,1,"Australia",NA,NA,"99999999",NA
2020-09-30,27078,886,7637403,26018,24427,55,9,3,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-01,27096,888,7679538,26035,24457,50,9,3,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-02,27113,890,7716467,26052,24497,51,6,3,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-03,27121,893,7746620,26059,24522,49,6,3,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-04,27136,894,7772808,26074,24538,46,6,1,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-05,27149,894,7795410,26086,24564,46,6,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-06,27174,895,7819359,26111,24588,37,5,2,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-07,27182,897,7852579,26118,24607,32,6,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-08,27206,897,7894965,26140,24620,31,3,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-09,27229,897,7936079,26161,24641,28,4,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-10,27244,897,7976677,26176,24656,31,4,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-11,27264,898,8007998,26194,24668,31,2,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-10-12,27286,898,8035445,26214,24683,32,1,0,25459470,1,"Australia",NA,NA,"99999999",NA
